iter	RMSE
982	25532.5884
983	25523.93657
984	25495.51819
985	25487.61094
986	25474.48561
987	25467.42838
988	25466.22618
989	25457.92277
990	25440.7546
991	25429.01021
992	25418.99852
993	25417.97745
994	25409.27313
995	25395.83248
996	25389.95545
997	25383.2884
998	25372.06223
999	25371.22615
